num,"time","in_fuel","out_power"
3080,"10.02.2018 6:19","8,05968","120,03"
3090,"10.02.2018 6:29","8,03347","120,675"
3100,"10.02.2018 6:39","8,08633","119,648"
3110,"10.02.2018 6:49","8,06726","120,747"
3120,"10.02.2018 6:59","8,11061","120,747"
3130,"10.02.2018 7:09","8,31693","125,401"
3140,"10.02.2018 7:19","8,96822","144,332"
3150,"10.02.2018 7:29","9,63878","160,875"
3160,"10.02.2018 7:39","10,169","176,797"
3170,"10.02.2018 7:49","10,8862","193,674"
3180,"10.02.2018 7:59","11,24","203,318"
3190,"10.02.2018 8:09","11,1329","201,838"
3200,"10.02.2018 8:19","12,0057","222,941"
3210,"10.02.2018 8:29","12,8413","243,47"
3220,"10.02.2018 8:39","13,8045","263,164"
3230,"10.02.2018 8:49","14,5894","283,956"
3240,"10.02.2018 8:59","14,4195","283,956"
3250,"10.02.2018 9:09","14,632","284,29"
3260,"10.02.2018 9:19","14,6595","285,603"
3270,"10.02.2018 9:29","14,6271","284,577"
3280,"10.02.2018 9:39","14,6308","285,484"
3290,"10.02.2018 9:49","14,5842","284,314"
3300,"10.02.2018 9:59","14,5198","285,866"
3310,"10.02.2018 10:09","14,5823","284,434"
3320,"10.02.2018 10:19","14,4044","285,627"
3330,"10.02.2018 10:29","14,5933","285,341"
3340,"10.02.2018 10:39","14,5617","285,627"
3350,"10.02.2018 10:49","14,6272","284,72"
3360,"10.02.2018 10:59","14,5548","284,768"
3370,"10.02.2018 11:09","14,5452","285,914"
3380,"10.02.2018 11:19","14,5642","284,601"
3390,"10.02.2018 11:29","14,6102","286,487"
3400,"10.02.2018 11:39","14,579","284,768"
3410,"10.02.2018 11:49","14,5452","285,818"
3420,"10.02.2018 11:59","14,5855","284,887"
3430,"10.02.2018 12:09","14,5058","286,2"
3440,"10.02.2018 12:19","14,6453","284,505"
3450,"10.02.2018 12:29","14,4449","285,174"
3460,"10.02.2018 12:39","14,5075","285,484"
3470,"10.02.2018 12:49","14,5747","284,959"
3480,"10.02.2018 12:59","14,5251","285,484"
3490,"10.02.2018 13:09","14,6232","286,415"
3500,"10.02.2018 13:19","14,482","285,484"
3510,"10.02.2018 13:29","14,5896","285,508"
3520,"10.02.2018 13:39","14,5892","286,439"
3530,"10.02.2018 13:49","14,6327","286,582"
3540,"10.02.2018 13:59","14,6091","285,436"
3550,"10.02.2018 14:09","14,4991","285,078"
3560,"10.02.2018 14:19","14,56","284,792"
3570,"10.02.2018 14:29","14,5415","286,463"
3580,"10.02.2018 14:39","14,5131","285,842"
3590,"10.02.2018 14:49","14,5829","285,89"
3600,"10.02.2018 14:59","14,6681","286,606"
3610,"10.02.2018 15:09","14,4624","284,863"
3620,"10.02.2018 15:19","14,4855","284,41"
3630,"10.02.2018 15:29","14,4853","287,059"
3640,"10.02.2018 15:39","14,5227","285,341"
3650,"10.02.2018 15:49","14,5793","285,197"
3660,"10.02.2018 15:59","14,5498","286,248"
3670,"10.02.2018 16:09","14,4999","285,317"
3680,"10.02.2018 16:19","14,4724","285,985"
3690,"10.02.2018 16:29","14,5396","284,72"
3700,"10.02.2018 16:39","14,5489","286,057"
3710,"10.02.2018 16:49","14,5765","284,911"
3720,"10.02.2018 16:59","14,5796","284,959"
3730,"10.02.2018 17:09","14,4846","285,866"
3740,"10.02.2018 17:19","14,5154","286,057"
3750,"10.02.2018 17:29","14,4963","286,152"
3760,"10.02.2018 17:39","14,4845","286,534"
3770,"10.02.2018 17:49","14,5323","285,436"
3780,"10.02.2018 17:59","14,4442","285,197"
3790,"10.02.2018 18:09","14,4854","284,887"
3800,"10.02.2018 18:19","14,6128","284,983"
3810,"10.02.2018 18:29","14,5118","285,03"
3820,"10.02.2018 18:39","14,7281","285,174"
